num_date_time,answer
1_20240825 00,4396.124417669857
1_20240825 01,4305.312906063063
1_20240825 02,3962.356644245915
1_20240825 03,3658.412037816443
1_20240825 04,3671.8132059532686
1_20240825 05,3810.403696890788
1_20240825 06,3874.0550829654644
1_20240825 07,4390.284895791518
1_20240825 08,5376.9440198490365
1_20240825 09,6036.48108564979
1_20240825 10,6255.964632424286
1_20240825 11,6795.623406082732
1_20240825 12,6783.483689323833
1_20240825 13,6863.688670070749
1_20240825 14,6947.6300888892965
1_20240825 15,6963.0844146624695
1_20240825 16,7036.272010319851
1_20240825 17,7116.089167976594
1_20240825 18,7072.048257441755
1_20240825 19,6670.079759779248
1_20240825 20,5332.379669367459
1_20240825 21,4839.443334255613
1_20240825 22,5288.802333426464
1_20240825 23,5370.891410614085
1_20240826 00,4619.824911160359
1_20240826 01,4098.678453256593
1_20240826 02,3685.0406762060875
1_20240826 03,3628.1913826376704
1_20240826 04,3635.119713182153
1_20240826 05,3640.8474542834197
1_20240826 06,3696.247530555374
1_20240826 07,4291.654925299015
1_20240826 08,5227.662525938909
1_20240826 09,5785.761152852404
1_20240826 10,5962.182102588576
1_20240826 11,5983.389168087529
1_20240826 12,6218.413500635844
1_20240826 13,6350.646393743789
1_20240826 14,6348.798321699984
1_20240826 15,6451.113881234763
1_20240826 16,6405.750446154409
1_20240826 17,6772.0082267275575
1_20240826 18,6632.732805583198
1_20240826 19,5992.523803494935
1_20240826 20,4899.017371910162
1_20240826 21,4611.035109806928
1_20240826 22,5055.339060430127
1_20240826 23,5081.506621090281
1_20240827 00,4802.0033406911925
1_20240827 01,4616.379374439352
1_20240827 02,4454.482578579071
1_20240827 03,4391.859035159247
1_20240827 04,4475.564664404272
1_20240827 05,4509.318705892026
1_20240827 06,4685.650279221746
1_20240827 07,4900.813377841774
1_20240827 08,5085.399198576872
1_20240827 09,5385.5515970649285
1_20240827 10,5288.964899229248
1_20240827 11,5243.549597427818
1_20240827 12,5368.985649238853
1_20240827 13,5372.366263409799
1_20240827 14,5372.599874938724
1_20240827 15,5401.026973739862
1_20240827 16,5479.988329558102
1_20240827 17,5709.386018328135
1_20240827 18,5723.422897297816
1_20240827 19,5738.283030030755
1_20240827 20,4944.201667708254
1_20240827 21,4579.05991374544
1_20240827 22,5390.970273103909
1_20240827 23,5616.571777937708
1_20240828 00,5526.073094029856
1_20240828 01,5394.8946607227845
1_20240828 02,5107.630191811386
1_20240828 03,4790.3619388653815
1_20240828 04,4681.0138931431875
1_20240828 05,4798.411453200705
1_20240828 06,4875.452982470768
1_20240828 07,5107.796512220911
1_20240828 08,5189.087786916265
1_20240828 09,5322.134273922796
1_20240828 10,5414.223545633746
1_20240828 11,5426.25149197774
1_20240828 12,5554.230807649904
1_20240828 13,5904.848428932761
1_20240828 14,5942.724431181508
1_20240828 15,5931.08826962876
1_20240828 16,6089.068333931818
1_20240828 17,6240.129624195134
1_20240828 18,6303.778074625108
1_20240828 19,5823.428100492876
1_20240828 20,5040.9597392248925
1_20240828 21,4624.044172745147
1_20240828 22,5357.989600014188
1_20240828 23,5591.126786054156
1_20240829 00,5417.239775155013
1_20240829 01,5125.769690197472
1_20240829 02,4897.2880778640665
1_20240829 03,4696.7737991690465
1_20240829 04,4752.279054222521
1_20240829 05,4957.127446244335
1_20240829 06,5008.632271099286
1_20240829 07,5122.833496846614
1_20240829 08,5237.352947998962
1_20240829 09,5424.2799419544135
1_20240829 10,5449.297166354038
1_20240829 11,5542.707885024223
1_20240829 12,5757.852138699931
1_20240829 13,6022.996359417106
1_20240829 14,6106.967360536685
1_20240829 15,6173.037926018299
1_20240829 16,6287.140852091206
1_20240829 17,6447.759724608698
1_20240829 18,6457.172549447136
1_20240829 19,6035.456559462217
1_20240829 20,5090.4826062177735
1_20240829 21,4647.995203187149
1_20240829 22,5178.590463196307
1_20240829 23,5271.507177178096
1_20240830 00,5250.901490644514
1_20240830 01,5198.909048686593
1_20240830 02,5022.465666251652
1_20240830 03,4748.3918526036505
1_20240830 04,4674.542489967525
1_20240830 05,5019.887001880252
1_20240830 06,5058.432404330266
1_20240830 07,5194.936359327267
1_20240830 08,5157.523827062519
1_20240830 09,5484.044898867383
1_20240830 10,5509.335240008877
1_20240830 11,5516.69122374011
1_20240830 12,5666.981070879185
1_20240830 13,6086.904217592517
1_20240830 14,6031.887542830024
1_20240830 15,6089.141382715949
1_20240830 16,6201.734927298429
1_20240830 17,6261.108729899007
1_20240830 18,6065.740508714998
1_20240830 19,6056.518258922841
1_20240830 20,5146.579128898279
1_20240830 21,4568.507354445834
1_20240830 22,5034.796781060028
1_20240830 23,5168.2209749262865
1_20240831 00,5370.750546959948
1_20240831 01,5284.337998065728
1_20240831 02,5037.17352744712
1_20240831 03,4737.413998064473
1_20240831 04,4843.354049558134
1_20240831 05,4833.46984842504
1_20240831 06,5044.04579664387
1_20240831 07,5145.1012208243255
1_20240831 08,5432.002905698374
1_20240831 09,5527.788132599928
1_20240831 10,5653.940844329085
1_20240831 11,5921.922463934755
1_20240831 12,6158.787766000021
1_20240831 13,6884.0518018861
1_20240831 14,6793.926608691312
1_20240831 15,6162.9497391342065
1_20240831 16,5963.8205855050355
1_20240831 17,6157.994121042895
1_20240831 18,6313.646993955864
1_20240831 19,6143.013596489964
1_20240831 20,5172.077948621581
1_20240831 21,4683.283871537092
1_20240831 22,5083.631634699227
1_20240831 23,5001.328569456488
2_20240825 00,1136.7527655316758
2_20240825 01,1104.6511357162508
2_20240825 02,1089.3617258441168
2_20240825 03,1084.424296200173
2_20240825 04,1087.970144545694
2_20240825 05,1112.1404979351264
2_20240825 06,1194.6003518861073
2_20240825 07,1322.022856942788
2_20240825 08,1408.8554336323994
2_20240825 09,1570.6489720326426
2_20240825 10,1635.6769961711934
2_20240825 11,1617.2668617231407
2_20240825 12,1543.2606248239963
2_20240825 13,1562.4059508078387
2_20240825 14,1578.3538766610707
2_20240825 15,1630.6813933641604
2_20240825 16,1649.5035361911105
2_20240825 17,1758.595811601471
2_20240825 18,2126.001567562208
2_20240825 19,1687.563176259184
2_20240825 20,1956.1392671752853
2_20240825 21,2463.3401023289603
2_20240825 22,1818.6221197612633
2_20240825 23,1846.3079212705616
2_20240826 00,1603.6462216309455
2_20240826 01,1305.150701468148
2_20240826 02,1272.5783425413363
2_20240826 03,1254.5045314184263
2_20240826 04,1228.8901322013753
2_20240826 05,1300.2805025336054
2_20240826 06,1485.2732729038087
2_20240826 07,1795.7740482193074
2_20240826 08,1916.2119202880924
2_20240826 09,2060.8160896859417
