num_date_time,answer
1_20240825 00,8003.713394740711
1_20240825 01,7567.921147994766
1_20240825 02,6759.164812226592
1_20240825 03,5860.55044157711
1_20240825 04,5503.596721539399
1_20240825 05,5446.1143450060545
1_20240825 06,5591.6832330917905
1_20240825 07,6865.498018642108
1_20240825 08,8849.1064615273
1_20240825 09,10860.610722131485
1_20240825 10,11249.999561920513
1_20240825 11,12028.589119170996
1_20240825 12,12255.735023851803
1_20240825 13,12570.74857595469
1_20240825 14,12727.148762913177
1_20240825 15,12650.915232992062
1_20240825 16,13018.373372042435
1_20240825 17,13103.19980237732
1_20240825 18,13114.98710694682
1_20240825 19,11691.11695961649
1_20240825 20,9989.579909431774
1_20240825 21,9171.140491134916
1_20240825 22,9513.855272761864
1_20240825 23,8982.616542389478
1_20240826 00,8466.5239540983
1_20240826 01,7747.453384663424
1_20240826 02,7192.303862080782
1_20240826 03,6188.599752356162
1_20240826 04,5807.347975230159
1_20240826 05,6092.473977592494
1_20240826 06,6291.084079169053
1_20240826 07,7365.6427002855835
1_20240826 08,8903.122669558801
1_20240826 09,10252.329081279444
1_20240826 10,10543.744161889379
1_20240826 11,10677.368834768742
1_20240826 12,11120.349163209301
1_20240826 13,11471.876381968046
1_20240826 14,11643.388169968595
1_20240826 15,11809.412005806074
1_20240826 16,12157.53752309331
1_20240826 17,12581.098400672068
1_20240826 18,12722.489678426144
1_20240826 19,11215.052664063718
1_20240826 20,9506.813165485335
1_20240826 21,8773.962107132422
1_20240826 22,9650.701303488371
1_20240826 23,9242.101354459493
1_20240827 00,8469.389191459039
1_20240827 01,8243.053666061458
1_20240827 02,7432.833993375838
1_20240827 03,6299.968250024878
1_20240827 04,6244.723617074516
1_20240827 05,6639.621477827585
1_20240827 06,6555.970296938502
1_20240827 07,7635.437181801019
1_20240827 08,9117.948186194024
1_20240827 09,10230.611202392305
1_20240827 10,9922.484325944388
1_20240827 11,9830.292248886099
1_20240827 12,10115.726395963633
1_20240827 13,10350.907668993306
1_20240827 14,10439.049454697804
1_20240827 15,10905.66464359557
1_20240827 16,11906.710699603194
1_20240827 17,12636.607187498723
1_20240827 18,12785.713280879347
1_20240827 19,11324.939951002092
1_20240827 20,9084.191732995483
1_20240827 21,7819.9480668198985
1_20240827 22,9356.132965215682
1_20240827 23,9394.17199332947
