num_date_time,answer
1_20240825 00,4064.3541797909024
1_20240825 01,4261.154728242336
1_20240825 02,3374.3479034609695
1_20240825 03,3045.2107680632184
1_20240825 04,2958.6756186196744
1_20240825 05,3334.2418748499654
1_20240825 06,2979.4108111360847
1_20240825 07,3811.7808396179394
1_20240825 08,5170.614856973498
1_20240825 09,6104.699927869754
1_20240825 10,6299.279523134593
1_20240825 11,6815.5591529698095
1_20240825 12,7026.58784486281
1_20240825 13,6951.67894761731
1_20240825 14,6941.631049376911
1_20240825 15,7064.986062157551
1_20240825 16,7165.772684332042
1_20240825 17,7209.717763477243
1_20240825 18,7131.609838150856
1_20240825 19,6635.209540128751
1_20240825 20,4822.018874791286
1_20240825 21,4630.489207955497
1_20240825 22,5423.877918075703
1_20240825 23,5523.3508176495825
1_20240826 00,4720.864772436501
1_20240826 01,4201.411496968627
1_20240826 02,3654.786415234231
1_20240826 03,4133.123824383393
1_20240826 04,3474.51411502189
1_20240826 05,3221.0172217012455
1_20240826 06,3566.3732721679917
1_20240826 07,3726.5781774056118
1_20240826 08,4933.835411983751
1_20240826 09,5613.368065679356
1_20240826 10,6087.644442907102
1_20240826 11,6012.998620041434
1_20240826 12,6296.428338453918
1_20240826 13,6318.3229974881215
1_20240826 14,6394.797496562877
1_20240826 15,6354.42757347038
1_20240826 16,6294.940424480468
1_20240826 17,6794.690030777862
1_20240826 18,6845.061819109264
1_20240826 19,5833.236037145282
1_20240826 20,4831.444311372914
1_20240826 21,4554.243203702566
1_20240826 22,5251.018018392702
1_20240826 23,5259.858945226692
1_20240827 00,4834.15493098071
1_20240827 01,3994.565117733163
1_20240827 02,4038.5137218434375
1_20240827 03,3079.918659669551
1_20240827 04,3308.7558887604337
1_20240827 05,3395.1174728138267
1_20240827 06,3548.884122892302
1_20240827 07,3911.59995573494
1_20240827 08,4792.993429648541
1_20240827 09,5502.630302578629
1_20240827 10,5517.796254501939
1_20240827 11,5371.090607608391
1_20240827 12,5474.373434000511
1_20240827 13,5237.1393505807955
1_20240827 14,5183.789356362836
1_20240827 15,5331.675647814914
1_20240827 16,5505.180963277006
1_20240827 17,5947.817994009953
1_20240827 18,5921.463446477186
1_20240827 19,5770.757876080734
1_20240827 20,4435.920752942388
1_20240827 21,4244.9622066935135
1_20240827 22,5218.021934333702
1_20240827 23,5425.631929376241
1_20240828 00,4982.837844873434
1_20240828 01,4727.096819440192
1_20240828 02,4540.417139326385
1_20240828 03,3606.5119029198013
1_20240828 04,3797.91517144577
1_20240828 05,3512.9259123679744
1_20240828 06,3685.3389786551575
1_20240828 07,3749.5529074567025
1_20240828 08,4897.706181090813
1_20240828 09,5482.8528589524785
1_20240828 10,5566.918684830574
1_20240828 11,5684.625773855173
1_20240828 12,5843.545564423291
1_20240828 13,6166.59487791826
1_20240828 14,6282.419211187484
1_20240828 15,6259.076706983219
1_20240828 16,6248.377905192098
1_20240828 17,6502.919956333479
1_20240828 18,6523.305638487021
1_20240828 19,6124.161720544835
1_20240828 20,4778.711520027967
1_20240828 21,4287.850527852381
1_20240828 22,5189.249787118683
1_20240828 23,5673.04435786246
1_20240829 00,5001.80846559579
1_20240829 01,4611.121351382779
1_20240829 02,4191.690854645139
1_20240829 03,3715.2344122753457
1_20240829 04,3664.0253870898136
1_20240829 05,3319.3745476660597
1_20240829 06,4163.580533068559
1_20240829 07,3718.208821234126
1_20240829 08,4971.954852168847
1_20240829 09,5339.859119168926
1_20240829 10,5725.215473196867
1_20240829 11,5683.792810569376
1_20240829 12,6134.071761935316
1_20240829 13,6195.27678310745
1_20240829 14,6278.951926576844
1_20240829 15,6296.121538747823
1_20240829 16,6388.726255086377
1_20240829 17,6688.545834269043
1_20240829 18,6698.18658981042
1_20240829 19,6227.790221472663
1_20240829 20,4769.521998999914
1_20240829 21,4540.301921344994
1_20240829 22,5011.335906622648
1_20240829 23,5242.671691329268
1_20240830 00,4865.514373726098
1_20240830 01,4412.607151311673
1_20240830 02,4300.44169574782
1_20240830 03,3914.0703566867473
1_20240830 04,3878.106326056712
1_20240830 05,3882.338535033294
1_20240830 06,3511.7212489198882
1_20240830 07,4366.34721629492
1_20240830 08,4841.272950539885
