feature,rf_importance,rf_rank,correlation,corr_rank,mutual_info,mi_rank,avg_rank,combined_rank
태양광용량(kW),0.08297726571414836,3.0,0.13663507245472517,2.0,0.8250326979508067,4.0,3.0,1.0
PCS용량(kW),0.016146196008692767,6.0,0.09764622238696091,22.0,0.1605552387813356,7.0,11.666666666666666,2.0
segment,0.05756284679832066,5.0,0.2409096575516497,1.0,0.057507412972837235,37.0,14.333333333333334,3.0
THI,0.0018099098191784867,18.0,0.1178792463737989,14.0,0.07477085318254861,16.0,16.0,4.0
불쾌지수,0.0010070324699958965,24.0,0.11826119700773352,12.5,0.07827345009235298,12.0,16.166666666666668,5.5
discomfort_index,0.0010429533952642925,23.0,0.11826119700773352,12.5,0.0782297055695853,13.0,16.166666666666668,5.5
solar_roll3h,0.004453135674607789,13.0,0.10111005486520831,19.0,0.07202070219144474,19.0,17.0,7.5
solar_lag1h,0.00670249016805066,10.0,0.09966108023375857,20.0,0.06822619343096381,21.0,17.0,7.5
solar_lag2h,0.013231985271312056,7.0,0.0971447661708253,23.0,0.06724362095236813,23.0,17.666666666666668,9.0
perceived_temperature,0.0006667921431384947,29.0,0.11915849646343522,10.5,0.07238399956115416,17.0,18.833333333333332,10.0
체감온도,0.0006110971720690573,30.0,0.11915849646343522,10.5,0.07236295784106783,18.0,19.5,11.0
ESS저장용량(kWh),0.005213993863994148,12.0,0.07942478584534872,44.0,0.1768817428259808,6.0,20.666666666666668,12.0
solar_rel_pos,0.0028981649737782936,15.0,0.08135629359424436,41.0,0.10837266960116576,8.0,21.333333333333332,13.0
기온(°C),0.00012617481857378151,52.0,0.13442415253371848,3.5,0.07764410373034902,15.0,23.5,14.0
temp_roll3h,0.00026726135624422236,41.0,0.12900579343320936,6.0,0.06644873179924282,24.0,23.666666666666668,15.0
근무시간,0.008071748199168333,8.0,0.12319289793402337,9.0,0.044863833884197346,56.0,24.333333333333332,16.0
COS_시,0.0018992428302331585,17.0,0.10924736971891646,16.0,0.05732066529990476,41.0,24.666666666666668,17.5
태양광per냉방면적,0.06405273386135699,4.0,0.07035947343672426,67.0,0.8322247904066877,3.0,24.666666666666668,17.5
solar_roll2h,0.00047927243593622065,34.0,0.09868727694496869,21.0,0.06779691030000201,22.0,25.666666666666668,19.0
temp_roll1h,9.47353784064576e-05,60.0,0.13442415253371848,3.5,0.07784385670005811,14.0,25.833333333333332,20.0
정오거리,0.0014758981527913857,21.0,0.10799122979963689,17.0,0.057322954112486,40.0,26.0,21.0
temp_roll2h,0.00014960938526849748,51.0,0.13247238126467092,5.0,0.06598785835975995,25.0,27.0,22.0
정오거리_INV,0.0060364295284550205,11.0,0.08261251913792762,39.0,0.05732517619640021,39.0,29.666666666666668,23.0
시각,0.0016507408119077658,19.0,0.07065441780324452,64.0,0.10793815351313452,9.0,30.666666666666668,24.0
day_of_year,0.0011779346190957851,22.0,0.08004674382785316,43.0,0.06504915884891371,28.0,31.0,25.0
SIN_day_of_year,0.0009829734703665266,25.0,0.08080945205414078,42.0,0.06439952754681588,29.0,32.0,26.0
solar_roll6h,0.000225868906905485,46.0,0.09591711657126208,25.0,0.06520763323839418,27.0,32.666666666666664,27.5
temp_lag1h,8.417984230975224e-05,65.0,0.1285560313020645,7.0,0.06562880276960747,26.0,32.666666666666664,27.5
solar_elevation,0.000675146493978017,28.0,0.09192465697850058,29.0,0.0572812522282371,42.0,33.0,29.0
temp_lag2h,0.00017687965233113915,48.0,0.11750734025089112,15.0,0.05736272155969413,38.0,33.666666666666664,30.0
temp_lag3h,0.0004656611106135548,35.0,0.10234546427193686,18.0,0.04669693359114202,51.0,34.666666666666664,31.0
SIN_시,0.002717462594224822,16.0,0.08218974385283458,40.0,0.047793609468142595,50.0,35.333333333333336,32.0
solar_lag3h,0.0001542521344349384,50.0,0.08710375973248542,31.0,0.0620068144521575,31.0,37.333333333333336,33.0
solar_roll1h,0.00023382638547035918,44.0,0.09385698379232922,26.5,0.050432375381319616,47.0,39.166666666666664,34.0
일사(MJ/m2),0.0002233497079278858,47.0,0.09385698379232922,26.5,0.050730940390439905,45.0,39.5,35.0
ESS설치여부,0.0005893273367671437,31.0,0.08474268111387256,35.5,0.04175517568600173,61.0,42.5,36.0
solar_roll6h_std,0.00015923681406855943,49.0,0.0834782441362279,37.0,0.05049629133634248,46.0,44.0,37.0
solar_roll3h_std,7.683625247852743e-05,67.0,0.09167091667944872,30.0,0.05786071821592653,36.0,44.333333333333336,38.0
PCS설치여부,0.0003895793178564901,36.0,0.08474268111387256,35.5,0.04081348184322242,63.0,44.833333333333336,39.0
CDH,5.0350968611049214e-05,79.0,0.12448605230490065,8.0,0.0503806053379483,48.0,45.0,40.0
설비밀도,0.004146339219464125,14.0,0.02527228417861121,118.0,0.19527527124870026,5.0,45.666666666666664,41.0
sunrise_hour,0.000729960779103312,27.0,0.06368762046422012,80.0,0.05878277023309675,35.0,47.333333333333336,42.0
냉방면적(m2),0.1623336363810557,2.0,0.014083156034341696,140.0,1.383082474818167,1.0,47.666666666666664,43.0
sunset_hour,0.0005634921569423116,32.0,0.06368762046422007,81.0,0.05878862324308631,34.0,49.0,44.0
extraterrestrial_rad,0.000557589178578146,33.0,0.06362708757660326,82.0,0.06024590295853116,33.0,49.333333333333336,45.0
이슬점차이,1.7690261797302483e-05,111.0,0.09255683860097305,28.0,0.06866946512137329,20.0,53.0,46.0
기온(°C)_zscore,0.00036304163662471945,38.0,0.0703681976495444,66.0,0.04392216826869699,58.0,54.0,47.0
peak_time,0.00010394195782681314,56.0,0.09711983322548902,24.0,0.028979494863047295,87.0,55.666666666666664,48.0
cloud_cover_dewpoint,1.4199150399249269e-05,120.0,0.08309048576713178,38.0,0.07850853590013518,11.0,56.333333333333336,49.0
이슬점온도,0.0015322921692199438,20.0,0.030979084062288845,108.0,0.0562525255112849,43.0,57.0,50.5
연면적(m2),0.5291876375193567,1.0,0.004685856352218526,168.0,1.374348716254623,2.0,57.0,50.5
cloud_cover_weighted,1.5414618464119898e-05,116.0,0.07085567636391879,62.0,0.08011610045313322,10.0,62.666666666666664,52.0
COS_day_of_year,0.00038447080817947396,37.0,0.045344383701176036,93.0,0.04153599855717438,62.0,64.0,53.0
expected_sunshine_ratio,2.8595176543284382e-05,102.0,0.08511234867549919,34.0,0.03624753967174543,68.0,68.0,54.0
humidity_roll2h,2.2631879896827448e-05,106.0,0.07740365469080411,47.0,0.046663585068600355,52.0,68.33333333333333,55.0
cloud_cover_wind_adjusted,3.826992472809106e-05,91.0,0.07528034150963843,49.0,0.0349048758851902,72.0,70.66666666666667,56.0
SIN_월,9.973657282871068e-05,58.0,0.07510375258248238,50.0,0.02234243204871955,105.0,71.0,57.0
가시거리_고급,3.128251094065578e-05,99.0,0.07259398671541316,59.0,0.04395342192645746,57.0,71.66666666666667,58.0
대기투명도,1.622632290262821e-05,114.0,0.06699482183832947,74.0,0.06410751308383489,30.0,72.66666666666667,59.0
humidity_lag1h,2.217852879823741e-05,107.0,0.07398322919145876,55.0,0.04265120224411767,59.0,73.66666666666667,60.5
temp_change3h,6.921998131372561e-05,70.0,0.054166540190067704,87.0,0.04075961296113473,64.0,73.66666666666667,60.5
월,8.609811878469963e-05,64.0,0.07425886727875657,52.0,0.022273828276144325,106.0,74.0,63.0
humidity_roll3h,3.0606635146394556e-05,100.0,0.07381847070323312,57.0,0.03910885796217478,65.0,74.0,63.0
sunshine_roll6h,3.693462902067386e-05,93.0,0.06868796344238223,69.0,0.04201013443998747,60.0,74.0,63.0
COS_월,0.00010010818137589942,57.0,0.06794230133971911,72.0,0.022384859624596132,104.0,77.66666666666667,65.0
습도(%)_zscore,0.0002952997916009383,40.0,0.0055932004081993775,164.0,0.060289283327914056,32.0,78.66666666666667,66.0
습도(%),6.560035890105539e-06,137.0,0.07937650920116879,45.5,0.045191833311085894,55.0,79.16666666666667,67.0
sunshine_roll3h,1.656639793396167e-05,113.0,0.07367755739224716,58.0,0.03848078407922495,67.0,79.33333333333333,68.0
humidity_roll1h,5.826873978326055e-06,140.0,0.07937650920116879,45.5,0.04529434612798067,53.0,79.5,69.0
holidays,0.007677360352143106,9.0,0.029560068069852164,109.0,0.013492455390403002,123.0,80.33333333333333,70.0
sunshine_roll6h_std,5.9567171952633854e-05,74.0,0.04115859162487251,96.0,0.03453628922763574,73.0,81.0,71.0
humidity_lag2h,4.131040327940378e-05,88.0,0.06369830315354455,79.0,0.033453036587244966,77.0,81.33333333333333,72.0
humidity_lag3h,5.916106934099897e-05,75.0,0.04961988197441788,88.0,0.030122046935350255,84.0,82.33333333333333,73.0
solar_change1h,7.217939203336392e-05,68.0,0.014831553189789532,136.0,0.04948070364621948,49.0,84.33333333333333,74.0
가시거리_추정,8.584803289611953e-06,126.0,0.07402136713488175,54.0,0.03420237279744143,74.0,84.66666666666667,75.0
풍속(m/s)_zscore,4.650848104614891e-05,81.0,0.024503241379014645,120.0,0.045209451717206584,54.0,85.0,76.5
daylight,1.3677336769169114e-05,121.0,0.08709978244443535,32.0,0.02348902434107636,102.0,85.0,76.5
is_temp_closed,0.0007968570159968434,26.0,0.045935636792054584,92.0,0.006039632053720045,139.0,85.66666666666667,78.0
final_cloud_index,3.29230847569627e-05,95.0,0.06215682103676748,83.0,0.031091018082557653,80.0,86.0,79.0
sunshine_lag1h,7.881738220812606e-06,129.0,0.07101713746737767,61.0,0.03552469257619695,70.0,86.66666666666667,80.0
sunshine_roll2h,1.2915285659519996e-05,122.0,0.07047682224794737,65.0,0.033526901359088424,76.0,87.66666666666667,81.5
temp_roll6h_std,8.928523856923267e-05,63.0,0.04769553913692456,90.0,0.018941611545290726,110.0,87.66666666666667,81.5
sunshine_lag2h,8.36956918715297e-06,127.0,0.06962239193644455,68.0,0.0350753804875259,71.0,88.66666666666667,83.0
cloudy_based_on_humidity,6.276737856973738e-06,138.0,0.07080947915012038,63.0,0.03853158546351221,66.0,89.0,84.0
humidity_change3h,5.2407018229365915e-05,78.0,0.0480668836204575,89.0,0.023638206241228588,101.0,89.33333333333333,85.0
windspeed_roll2h,4.6004302360880855e-05,83.0,0.024547777420769124,119.0,0.03573595252995254,69.0,90.33333333333333,86.0
cloud_cover_humidity,4.617940625176923e-06,144.0,0.07599755574165452,48.0,0.030905427079050085,81.0,91.0,87.0
windspeed_roll3h,6.272592290184676e-05,72.0,0.02168847434299056,125.0,0.032682497212848105,78.0,91.66666666666667,88.0
SIN_요일,0.0003513045358184642,39.0,0.028165960848271127,110.0,0.011658172840371073,127.0,92.0,89.0
temp_roll3h_std,4.641419369714336e-05,82.0,0.03906810322398854,98.0,0.024608787976357682,99.0,93.0,90.5
temp_change2h,4.0174437982829595e-05,89.0,0.03959791735403354,97.0,0.025565661602706236,93.0,93.0,90.5
solar_change2h,6.055420415442177e-05,73.0,0.005100846255593001,166.0,0.054237381900138715,44.0,94.33333333333333,92.0
요일,0.00023683649230118854,43.0,0.02649888980372085,113.5,0.01162698620424818,128.0,94.83333333333333,93.5
weekday,0.0002510777462659067,42.0,0.02649888980372085,113.5,0.01159480400966384,129.0,94.83333333333333,93.5
sunshine_roll3h_std,2.1530522748273358e-05,108.0,0.043748380202415636,94.0,0.029943361860313544,86.0,96.0,95.5
sunshine_lag3h,1.1473134828854402e-05,125.0,0.06098444334932981,84.0,0.031880853631315986,79.0,96.0,95.5
humidity_roll6h_std,8.200786745631067e-05,66.0,0.031976254086473206,104.0,0.015630127121826654,119.0,96.33333333333333,97.5
cloud_cover_combined,4.468192646920879e-06,145.0,0.07412056774920735,53.0,0.027282394049580105,91.0,96.33333333333333,97.5
sun_bin_0,1.4983553066399044e-06,161.0,0.085269045139932,33.0,0.024761019511893467,98.0,97.33333333333333,99.0
sunshine_roll1h,6.8458479186581905e-06,134.0,0.06430500989225457,76.5,0.03014353256558655,82.0,97.5,100.5
일조(hr),7.662555337405939e-06,131.0,0.06430500989225457,76.5,0.030094903906944026,85.0,97.5,100.5
mid_cloud_prob,3.241308165570212e-05,97.0,0.031238498678653946,107.0,0.028290601170612995,89.0,97.66666666666667,102.5
cloud_blocking_factor,4.938518421978138e-06,143.0,0.07203164474794445,60.0,0.02740457681416686,90.0,97.66666666666667,102.5
SIN_일,0.00022655177475691825,45.0,0.015762371926058772,134.0,0.01623038399531751,117.0,98.66666666666667,104.5
cloud_okta,2.2067380992229156e-06,152.0,0.073982218048226,56.0,0.028731006339404175,88.0,98.66666666666667,104.5
일,0.00012435930549894281,54.0,0.019995099272771176,127.0,0.01636387497415992,116.0,99.0,106.0
주말여부,6.52129771619515e-05,71.0,0.03463601022388422,101.0,0.0110761163210773,133.0,101.66666666666667,107.0
is_regular_closed,0.0001250529857537129,53.0,0.016008386515798095,133.0,0.015038861404470527,120.0,102.0,108.0
windspeed_lag1h,4.162022685074927e-05,87.0,0.02102824693233358,126.0,0.02506976964176122,95.0,102.66666666666667,109.0
atmospheric_instability,9.240668013993879e-05,62.0,0.004107950522206838,173.0,0.03379745872877038,75.0,103.33333333333333,110.0
wind_dispersion_factor,2.286342166697663e-05,105.0,0.027728609796396797,111.0,0.0249180496922623,97.0,104.33333333333333,111.5
sky_condition,1.573441761198458e-06,159.0,0.0745451913384844,51.0,0.022778565419744545,103.0,104.33333333333333,111.5
