num_date_time,answer
1_20240825 00,4389.843487012476
1_20240825 01,4231.461202034652
1_20240825 02,3909.4137381363157
1_20240825 03,3585.616294827526
1_20240825 04,3490.5251597948736
1_20240825 05,3556.1351364344237
1_20240825 06,3794.6344483734224
1_20240825 07,4142.350310657585
1_20240825 08,4961.096812941433
1_20240825 09,5885.3955283885225
1_20240825 10,6091.1571916903295
1_20240825 11,6818.320782403699
1_20240825 12,6855.142723331302
1_20240825 13,6846.876200734717
1_20240825 14,6990.496798969631
1_20240825 15,6959.405695613562
1_20240825 16,7013.612651303645
1_20240825 17,7264.507219532051
1_20240825 18,7066.900898026332
1_20240825 19,6773.3539577951815
1_20240825 20,5885.4246659735945
1_20240825 21,5061.140237121223
1_20240825 22,5607.479722987301
1_20240825 23,5239.202808126481
1_20240826 00,4706.141491769126
1_20240826 01,4289.623874594935
1_20240826 02,3844.581101833011
1_20240826 03,3566.3985024897015
1_20240826 04,3489.3044449788895
1_20240826 05,3583.0089681369786
1_20240826 06,3891.231705467252
1_20240826 07,4316.374083529085
1_20240826 08,5010.486538206464
1_20240826 09,5436.2332852127665
1_20240826 10,5768.385492255802
1_20240826 11,5801.075994851411
1_20240826 12,6096.995249846031
1_20240826 13,6207.947700354382
1_20240826 14,6225.810290587324
1_20240826 15,6327.5463371964715
1_20240826 16,6292.311620171957
1_20240826 17,6785.619472469544
1_20240826 18,6596.10569043544
1_20240826 19,5691.688659390686
1_20240826 20,5429.6058147571875
1_20240826 21,4821.776960107829
1_20240826 22,5401.264095805026
1_20240826 23,5186.663113676216
1_20240827 00,4956.248852021536
1_20240827 01,4591.3281212878
1_20240827 02,4322.324785071377
1_20240827 03,4019.1294244711366
1_20240827 04,4030.3586823725877
1_20240827 05,4090.0916042916
1_20240827 06,4350.921476723812
1_20240827 07,4728.69374583067
1_20240827 08,4862.115326325005
1_20240827 09,4884.942776497008
1_20240827 10,4864.935284126632
1_20240827 11,5213.781266531938
1_20240827 12,5260.9051476672985
1_20240827 13,5326.4792754094715
1_20240827 14,5269.478194079309
1_20240827 15,5335.533474239697
1_20240827 16,5481.581491310675
1_20240827 17,5577.360731694633
1_20240827 18,5905.040583703458
1_20240827 19,5683.02966580872
1_20240827 20,5042.441965840772
1_20240827 21,4535.531187112252
1_20240827 22,5422.804567502724
1_20240827 23,5247.823144860155
1_20240828 00,5088.841723996972
1_20240828 01,4789.185002012915
1_20240828 02,4569.227544740746
1_20240828 03,4291.095126027841
1_20240828 04,4190.612481849846
1_20240828 05,4371.932681189241
