feature,xgb_importance,lgb_importance,ensemble_importance,model,rank
지역그룹ID,0.0130837355,717,358.50654186774045,sunshine,1
extraterrestrial_rad,0.011094444,664,332.0055472222157,sunshine,2
풍속(m/s),0.009270325,454,227.00463516265154,sunshine,3
temp_roll6h_std,0.010145596,448,224.00507279811427,sunshine,4
temp_change1h,0.019757526,419,209.5098787629977,sunshine,5
temp_change2h,0.040533304,418,209.02026665210724,sunshine,6
이슬점온도,0.0051566707,390,195.00257833534852,sunshine,7
humidity_roll6h_std,0.005707142,384,192.00285357097164,sunshine,8
solar_elevation,0.010390258,381,190.5051951291971,sunshine,9
temp_roll3h_std,0.0083264895,355,177.50416324473917,sunshine,10
humidity_roll3h_std,0.0050573694,282,141.00252868467942,sunshine,11
sunrise_hour,0.014019974,281,140.50700998678803,sunshine,12
이슬점차이,0.11412417,273,136.55706208571792,sunshine,13
기온(°C),0.0045682318,271,135.50228411587887,sunshine,14
perceived_temperature,0.0058716647,262,131.00293583236635,sunshine,15
SIN_시,0.027169298,228,114.0135846491903,sunshine,16
temp_lag2h,0.005859459,226,113.00292972940952,sunshine,17
COS_day_of_year,0.018061321,213,106.50903066061437,sunshine,18
humidity_change2h,0.008834014,193,96.5044170068577,sunshine,19
humidity_lag2h,0.005633396,189,94.50281669804826,sunshine,20
temp_lag1h,0.004749972,178,89.0023749859538,sunshine,21
humidity_roll3h,0.0053619924,176,88.00268099620007,sunshine,22
SIN_day_of_year,0.017562803,165,82.5087814014405,sunshine,23
humidity_roll2h,0.0066308104,165,82.50331540522166,sunshine,24
humidity_change1h,0.005156557,162,81.00257827853784,sunshine,25
COS_시,0.021415526,159,79.51070776302367,sunshine,26
temp_roll2h,0.006801591,153,76.50340079539455,sunshine,27
습도(%),0.003472617,147,73.50173630844802,sunshine,28
대기투명도,0.5344298,140,70.26721489429474,sunshine,29
temp_roll3h,0.006627972,140,70.00331398588605,sunshine,30
건물번호,0.0056302315,132,66.00281511573121,sunshine,31
humidity_lag1h,0.0041246624,111,55.50206233118661,sunshine,32
temp_roll1h,0.020105863,53,26.51005293149501,sunshine,33
sunset_hour,0.010497421,41,20.505248710513115,sunshine,34
강수량(mm),0.0023194589,20,10.00115972943604,sunshine,35
humidity_roll1h,0.002448395,10,5.0012241974473,sunshine,36
지역그룹ID,0.035188936,957,478.51759446784854,solar,1
solar_elevation,0.014753945,561,280.5073769725859,solar,2
건물번호,0.03457672,432,216.01728836074471,solar,3
풍속(m/s),0.0015086178,381,190.50075430888683,solar,4
COS_시,0.13509275,359,179.56754637509584,solar,5
SIN_시,0.051131196,295,147.52556559816003,solar,6
일조(hr),0.1533505,291,145.5766752511263,solar,7
extraterrestrial_rad,0.0009720771,273,136.50048603853793,solar,8
sunshine_roll6h_std,0.0037583173,266,133.00187915866263,solar,9
humidity_roll6h_std,0.00043232672,249,124.50021616336016,solar,10
temp_change2h,0.0018167644,238,119.00090838217875,solar,11
temp_roll3h_std,0.00066615426,227,113.50033307712874,solar,12
temp_roll6h_std,0.0005486739,227,113.50027433695504,solar,13
이슬점온도,0.00038794606,221,110.50019397302822,solar,14
temp_change1h,0.0011876387,212,106.00059381936444,solar,15
sunshine_roll3h_std,0.00066498754,206,103.00033249377157,solar,16
perceived_temperature,0.000412416,205,102.50020620800206,solar,17
sunshine_roll2h,0.17437501,183,91.58718750625849,solar,18
humidity_roll3h_std,0.0003147719,183,91.50015738594811,solar,19
sunshine_roll3h,0.008905193,181,90.50445259641856,solar,20
이슬점차이,0.0012945287,177,88.50064726435812,solar,21
temp_lag2h,0.00036097656,167,83.50018048827769,solar,22
sunshine_change1h,0.0008889189,142,71.00044445943786,solar,23
sunshine_change2h,0.00061576994,142,71.00030788496952,solar,24
기온(°C),0.0002537405,130,65.00012687024719,solar,25
humidity_lag2h,0.0020874576,129,64.50104372878559,solar,26
SIN_day_of_year,0.0019033022,128,64.00095165107632,solar,27
COS_day_of_year,0.0007120736,128,64.00035603679135,solar,28
humidity_roll3h,0.00055687735,127,63.500278438674286,solar,29
atmospheric_instability,0.0004226581,125,62.500211329053855,solar,30
sunrise_hour,0.0007289258,123,61.500364462903235,solar,31
humidity_roll2h,0.00045337854,119,59.500226689269766,solar,32
대기투명도,0.009386989,118,59.004693494644016,solar,33
humidity_change1h,0.00035375025,112,56.00017687512445,solar,34
temp_roll3h,0.0004770446,110,55.00023852230515,solar,35
습도(%),0.0005822894,104,52.00029114470817,solar,36
humidity_change2h,0.00044847804,104,52.00022423901828,solar,37
temp_lag1h,0.00038128093,102,51.00019064046501,solar,38
temp_roll2h,0.0004951414,101,50.50024757068604,solar,39
sunshine_roll1h,0.3497075,95,47.67485375702381,solar,40
humidity_lag1h,0.00042617117,92,46.00021308558644,solar,41
sunshine_lag1h,0.0003355418,63,31.500167770893313,solar,42
sunshine_lag2h,0.002420676,50,25.001210337970406,solar,43
강수량(mm),0.0012978609,50,25.000648930436,solar,44
convective_cloud_prob,0.00038410575,47,23.5001920528739,solar,45
sunset_hour,0.00044280378,43,21.500221401889576,solar,46
temp_roll1h,0.00048361442,19,9.500241807210841,solar,47
humidity_roll1h,0.0020532126,3,1.5010266063036397,solar,48
