feature,xgb_importance,lgb_importance,ensemble_importance,model,rank
지역그룹ID,0.0130837355,717,358.50654186774045,sunshine,1
extraterrestrial_rad,0.011094444,664,332.0055472222157,sunshine,2
풍속(m/s),0.009270325,454,227.00463516265154,sunshine,3
temp_roll6h_std,0.010145596,448,224.00507279811427,sunshine,4
temp_change1h,0.019757526,419,209.5098787629977,sunshine,5
temp_change2h,0.040533304,418,209.02026665210724,sunshine,6
이슬점온도,0.0051566707,390,195.00257833534852,sunshine,7
humidity_roll6h_std,0.005707142,384,192.00285357097164,sunshine,8
solar_elevation,0.010390258,381,190.5051951291971,sunshine,9
temp_roll3h_std,0.0083264895,355,177.50416324473917,sunshine,10
humidity_roll3h_std,0.0050573694,282,141.00252868467942,sunshine,11
sunrise_hour,0.014019974,281,140.50700998678803,sunshine,12
이슬점차이,0.11412417,273,136.55706208571792,sunshine,13
기온(°C),0.0045682318,271,135.50228411587887,sunshine,14
perceived_temperature,0.0058716647,262,131.00293583236635,sunshine,15
SIN_시,0.027169298,228,114.0135846491903,sunshine,16
temp_lag2h,0.005859459,226,113.00292972940952,sunshine,17
COS_day_of_year,0.018061321,213,106.50903066061437,sunshine,18
humidity_change2h,0.008834014,193,96.5044170068577,sunshine,19
humidity_lag2h,0.005633396,189,94.50281669804826,sunshine,20
temp_lag1h,0.004749972,178,89.0023749859538,sunshine,21
humidity_roll3h,0.0053619924,176,88.00268099620007,sunshine,22
SIN_day_of_year,0.017562803,165,82.5087814014405,sunshine,23
humidity_roll2h,0.0066308104,165,82.50331540522166,sunshine,24
humidity_change1h,0.005156557,162,81.00257827853784,sunshine,25
COS_시,0.021415526,159,79.51070776302367,sunshine,26
temp_roll2h,0.006801591,153,76.50340079539455,sunshine,27
습도(%),0.003472617,147,73.50173630844802,sunshine,28
대기투명도,0.5344298,140,70.26721489429474,sunshine,29
temp_roll3h,0.006627972,140,70.00331398588605,sunshine,30
건물번호,0.0056302315,132,66.00281511573121,sunshine,31
humidity_lag1h,0.0041246624,111,55.50206233118661,sunshine,32
temp_roll1h,0.020105863,53,26.51005293149501,sunshine,33
sunset_hour,0.010497421,41,20.505248710513115,sunshine,34
강수량(mm),0.0023194589,20,10.00115972943604,sunshine,35
humidity_roll1h,0.002448395,10,5.0012241974473,sunshine,36
