num_date_time,answer
1_20240825 00,4112.035164883667
1_20240825 01,3980.446869548675
1_20240825 02,3761.660460051223
1_20240825 03,3460.3203685698627
1_20240825 04,3446.4897960343756
1_20240825 05,3547.6170181096786
1_20240825 06,3580.9155019158397
1_20240825 07,4039.4001815433994
1_20240825 08,4461.4280701391
1_20240825 09,5981.164149908111
1_20240825 10,6206.85365654634
1_20240825 11,6381.772407686703
1_20240825 12,6746.35442079346
1_20240825 13,6873.908845417741
1_20240825 14,6921.543215056478
1_20240825 15,6840.867322462629
1_20240825 16,6926.949432918089
1_20240825 17,7177.636914661233
1_20240825 18,7029.691384248477
1_20240825 19,6764.031335133079
1_20240825 20,5621.048203619603
1_20240825 21,4469.324814632419
1_20240825 22,4717.11841454751
1_20240825 23,4690.553012821505
1_20240826 00,4364.194796114626
1_20240826 01,3888.271329079947
1_20240826 02,3658.1416315336246
1_20240826 03,3492.563210725004
1_20240826 04,3403.795651282069
1_20240826 05,3558.724364277464
1_20240826 06,3629.771001962419
1_20240826 07,4116.938245885618
1_20240826 08,4636.921751928092
1_20240826 09,5146.564242646777
1_20240826 10,5297.369773893728
1_20240826 11,5120.470211866803
1_20240826 12,5839.773974446289
1_20240826 13,6037.586474506381
1_20240826 14,5914.241828350541
1_20240826 15,5972.56755019327
1_20240826 16,5845.630441111961
1_20240826 17,6258.572849549937
1_20240826 18,6532.38885457103
1_20240826 19,6029.905462106247
1_20240826 20,4986.50215375131
1_20240826 21,4359.6492845620905
1_20240826 22,5045.1077282724345
1_20240826 23,5141.021269452611
1_20240827 00,5036.560873059811
1_20240827 01,4713.950025181119
1_20240827 02,4114.885613199053
1_20240827 03,3693.2788422350304
1_20240827 04,3742.701761113212
1_20240827 05,3609.8032357952607
1_20240827 06,3690.333584316454
1_20240827 07,4190.967139481958
1_20240827 08,5120.807180477987
1_20240827 09,5300.929314698133
1_20240827 10,5094.452940342322
1_20240827 11,4730.571616040179
1_20240827 12,5273.173110903198
1_20240827 13,5439.368769585716
1_20240827 14,5448.154382816754
1_20240827 15,5468.81739282756
1_20240827 16,5434.583796955892
1_20240827 17,5841.828235388592
1_20240827 18,6018.574545173935
1_20240827 19,5760.892566589858
1_20240827 20,5230.487843309796
1_20240827 21,4266.485341023779
1_20240827 22,5410.534300640423
1_20240827 23,5558.633646814299
1_20240828 00,5239.906792019281
1_20240828 01,4827.617473184596
1_20240828 02,4344.20409419969
1_20240828 03,4003.5682241675113
1_20240828 04,3993.093987551464
1_20240828 05,4125.348894588615
1_20240828 06,4252.5168344111025
1_20240828 07,4181.204933436143
1_20240828 08,4754.514969050262
1_20240828 09,5509.917945919427
1_20240828 10,5399.025785300423
1_20240828 11,5024.352907719189
1_20240828 12,5658.030958732377
1_20240828 13,6153.631440107989
1_20240828 14,6231.70549131385
1_20240828 15,5983.140968699505
1_20240828 16,6041.042787959398
1_20240828 17,6427.711672283812
1_20240828 18,6472.214126740324
1_20240828 19,5836.0353140483085
1_20240828 20,4879.593160619417
1_20240828 21,4262.221264479744
1_20240828 22,5387.592389407142
1_20240828 23,5279.135443299306
1_20240829 00,5031.578317298117
1_20240829 01,4409.722594923896
1_20240829 02,4087.528782922457
1_20240829 03,3901.9079061380717
1_20240829 04,3851.073664391578
1_20240829 05,3724.382172154995
1_20240829 06,3767.9862926006695
1_20240829 07,4091.8835250670745
1_20240829 08,4966.651916059514
1_20240829 09,5354.417652248154
1_20240829 10,5402.708467459639
1_20240829 11,5394.517210729169
1_20240829 12,5873.43927045617
1_20240829 13,6105.8048697646645
1_20240829 14,6023.28400508436
1_20240829 15,5977.241376742424
1_20240829 16,6097.906671859011
1_20240829 17,6467.209353493574
1_20240829 18,6663.194947836258
1_20240829 19,6248.953897720211
1_20240829 20,5353.201386650942
1_20240829 21,4305.416402334156
