num_date_time,answer
1_20240825 00,4302.22199953637
1_20240825 01,4033.187809023407
1_20240825 02,3882.6369730475626
1_20240825 03,3411.937659318946
1_20240825 04,3535.4607028086625
1_20240825 05,3649.2196225224743
1_20240825 06,3763.5374771200504
1_20240825 07,4121.039125807103
1_20240825 08,4475.0260867248335
1_20240825 09,6123.376449601972
1_20240825 10,6171.617540863425
1_20240825 11,6424.885588280646
1_20240825 12,6600.5849077534585
1_20240825 13,6744.635073242856
1_20240825 14,6816.407352374028
1_20240825 15,6823.011738042005
1_20240825 16,6910.323401438999
1_20240825 17,7062.605278674194
1_20240825 18,6840.183390246793
1_20240825 19,6696.511918447283
1_20240825 20,5653.917426485288
1_20240825 21,4477.532163041704
1_20240825 22,4584.055420099801
1_20240825 23,4800.0349054757235
1_20240826 00,4462.159604646817
1_20240826 01,3848.0358549917214
1_20240826 02,3564.404005429948
1_20240826 03,3577.217047327476
1_20240826 04,3442.755673483566
1_20240826 05,3632.858340045359
1_20240826 06,3707.112544543412
1_20240826 07,4129.941790105113
1_20240826 08,4726.183335339246
1_20240826 09,5194.462470596249
1_20240826 10,5296.896906906611
1_20240826 11,5058.899772917687
1_20240826 12,5830.828822004848
1_20240826 13,5959.48883957549
1_20240826 14,5965.790997895303
1_20240826 15,5992.709788308835
1_20240826 16,5894.925702486357
1_20240826 17,6262.81613060298
1_20240826 18,6475.964161260558
1_20240826 19,5859.583901527807
1_20240826 20,4959.191500583721
1_20240826 21,4292.899627320367
1_20240826 22,5062.221335269045
1_20240826 23,5189.7563881908645
1_20240827 00,5084.818179779392
1_20240827 01,4841.306636282676
1_20240827 02,4329.541479614292
1_20240827 03,3885.9550859765995
1_20240827 04,3902.161742246225
1_20240827 05,3689.392594841952
1_20240827 06,3819.004481906308
1_20240827 07,4408.548799284449
1_20240827 08,5176.985048345079
1_20240827 09,5361.553208493221
1_20240827 10,5105.35711577297
1_20240827 11,4760.936204704172
1_20240827 12,5290.104249077072
1_20240827 13,5470.974139142295
1_20240827 14,5514.117348347371
1_20240827 15,5383.118234932211
1_20240827 16,5345.279739008536
1_20240827 17,5686.976951384503
1_20240827 18,5789.867015690341
1_20240827 19,5688.6894133561655
1_20240827 20,5170.277244096304
1_20240827 21,4354.157004222817
1_20240827 22,5380.105129165959
1_20240827 23,5592.664266760212
1_20240828 00,5236.098368916224
1_20240828 01,4946.660596329694
1_20240828 02,4619.983466256316
1_20240828 03,4201.507369486048
1_20240828 04,4094.502352542972
1_20240828 05,4303.1252031134645
