num_date_time,answer
1_20240825 00,4238.010211684814
1_20240825 01,3997.443532476365
1_20240825 02,3781.976050030179
1_20240825 03,3503.996654797584
1_20240825 04,3468.4648715311323
1_20240825 05,3434.776797258145
1_20240825 06,3461.0739736415553
1_20240825 07,3754.9007770117646
1_20240825 08,4338.1520541064465
1_20240825 09,5969.319727998216
1_20240825 10,6186.607456726348
1_20240825 11,6382.690639502052
1_20240825 12,6687.412219726597
1_20240825 13,6892.0583655669025
1_20240825 14,6913.5843517674075
1_20240825 15,6895.470366732814
1_20240825 16,6942.227127241047
1_20240825 17,7129.169324561663
1_20240825 18,7038.869960194317
1_20240825 19,6784.06581372437
1_20240825 20,5667.082983698229
1_20240825 21,4531.857937084658
1_20240825 22,4801.399740017082
1_20240825 23,5182.778236938804
1_20240826 00,4440.087008482714
1_20240826 01,4065.6897653467877
1_20240826 02,3820.8692203775513
1_20240826 03,3643.3427795483667
1_20240826 04,3404.675627177946
1_20240826 05,3415.754132670959
1_20240826 06,3475.71578850025
1_20240826 07,3812.6039694314104
1_20240826 08,4568.809374867898
1_20240826 09,5222.200841996974
1_20240826 10,5416.076779041872
1_20240826 11,5142.179689324101
1_20240826 12,5862.651102003108
1_20240826 13,6081.452738088866
1_20240826 14,6012.071942791789
1_20240826 15,6068.451358467916
1_20240826 16,5899.354376058565
1_20240826 17,6392.041360288279
1_20240826 18,6615.117860526585
1_20240826 19,6013.365287585046
1_20240826 20,4967.317937525389
1_20240826 21,4454.276858661283
1_20240826 22,5155.058588308111
1_20240826 23,5465.160788901598
1_20240827 00,5084.650750381448
1_20240827 01,4777.54497892801
1_20240827 02,4238.998999401391
1_20240827 03,3845.529868527499
1_20240827 04,3782.950987249441
1_20240827 05,3549.979950778907
1_20240827 06,3666.82431089382
1_20240827 07,4208.974416712917
1_20240827 08,5027.44198038927
1_20240827 09,5257.284599605441
1_20240827 10,5026.217077806212
1_20240827 11,4767.870715972826
1_20240827 12,5372.33980848512
1_20240827 13,5520.981927050982
1_20240827 14,5575.610452550962
1_20240827 15,5549.771551820594
1_20240827 16,5465.799811037423
1_20240827 17,5873.737960802548
1_20240827 18,6082.722632605432
1_20240827 19,5823.918620700684
