num_date_time,answer
1_20240825 00,4126.1625130678685
1_20240825 01,3944.7970763177245
1_20240825 02,3704.105707817922
1_20240825 03,3436.604747061692
1_20240825 04,3377.5092729235453
1_20240825 05,3284.85180212918
1_20240825 06,3435.4783593571387
1_20240825 07,3723.6926403104303
1_20240825 08,4230.033578168788
1_20240825 09,6008.05743592049
1_20240825 10,6144.694529526489
1_20240825 11,6346.2448084991975
1_20240825 12,6714.664709190929
1_20240825 13,6936.589584967889
1_20240825 14,6915.532598726015
1_20240825 15,6894.97304774778
1_20240825 16,6959.687804521914
1_20240825 17,7120.998409817745
1_20240825 18,7025.3079588895
1_20240825 19,6814.817432113137
1_20240825 20,5657.159022765824
1_20240825 21,4495.470423812535
1_20240825 22,4607.135672699256
1_20240825 23,4973.654371818871
1_20240826 00,4242.447225067902
1_20240826 01,3922.5437995724005
1_20240826 02,3588.8237007882253
1_20240826 03,3442.3848116737804
1_20240826 04,3304.192873175006
1_20240826 05,3288.18331175807
1_20240826 06,3367.114768941361
1_20240826 07,3784.555218102042
1_20240826 08,4391.438179633515
1_20240826 09,5115.8666246899775
1_20240826 10,5272.878269667251
1_20240826 11,5162.473511111645
1_20240826 12,5871.052047161188
1_20240826 13,6119.899290762993
1_20240826 14,6036.341396074184
1_20240826 15,6099.325179510349
1_20240826 16,5924.476701225719
1_20240826 17,6349.826254001214
1_20240826 18,6623.672572847301
1_20240826 19,6026.3460094798675
1_20240826 20,4982.074982732538
1_20240826 21,4331.512224465194
1_20240826 22,5017.866552951513
1_20240826 23,5322.863231504089
1_20240827 00,4946.988371215022
1_20240827 01,4663.234125247994
1_20240827 02,4018.8484944770425
1_20240827 03,3641.8987609973346
1_20240827 04,3625.994079423493
1_20240827 05,3450.7286316568916
1_20240827 06,3541.619267795806
1_20240827 07,4046.311153729998
1_20240827 08,4936.679481666879
1_20240827 09,5227.492550455695
1_20240827 10,4984.104080359295
1_20240827 11,4647.863570053893
1_20240827 12,5229.5098247226515
1_20240827 13,5471.11242442418
1_20240827 14,5611.247775803424
1_20240827 15,5615.285231376409
1_20240827 16,5442.323371291326
1_20240827 17,5818.676876432778
1_20240827 18,6017.029350509472
1_20240827 19,5848.78315626596
1_20240827 20,5065.703440894785
1_20240827 21,4092.6204231879374
1_20240827 22,5195.131160276304
1_20240827 23,5623.80398140765
1_20240828 00,5134.521545478485
1_20240828 01,4761.658321793008
