num_date_time,answer
1_20240825 00,4102.9766259175785
1_20240825 01,3974.4866306411113
1_20240825 02,3780.73956542243
1_20240825 03,3546.216825710444
1_20240825 04,3375.6348314175066
1_20240825 05,3440.1406014538206
1_20240825 06,3504.950948605642
1_20240825 07,4051.12309493038
1_20240825 08,4345.742284792181
1_20240825 09,6176.994612561453
1_20240825 10,6270.992548093261
1_20240825 11,6417.673943457727
1_20240825 12,6719.690446135699
1_20240825 13,6872.791489456225
1_20240825 14,6803.074165864389
1_20240825 15,6808.955682357594
1_20240825 16,6827.753807833441
1_20240825 17,6959.5575042806095
1_20240825 18,6874.186167683416
1_20240825 19,6718.685629474821
1_20240825 20,5652.545567139277
1_20240825 21,4528.835344123449
1_20240825 22,4443.579978031568
1_20240825 23,4677.583799340277
1_20240826 00,4261.512666322228
1_20240826 01,3873.628199101694
1_20240826 02,3606.668359985069
1_20240826 03,3404.2075760554044
1_20240826 04,3299.74814442939
1_20240826 05,3423.762263749292
1_20240826 06,3483.5843639450663
1_20240826 07,4112.449000966244
1_20240826 08,4590.382316147307
1_20240826 09,5149.040405290496
1_20240826 10,5467.461139772369
1_20240826 11,5065.140550833565
1_20240826 12,5886.830139418119
1_20240826 13,6142.841012713328
1_20240826 14,6029.074520140045
1_20240826 15,6133.770309997608
1_20240826 16,6052.418396994068
1_20240826 17,6319.373760371585
1_20240826 18,6504.594097130212
1_20240826 19,5827.081621028501
1_20240826 20,4909.017641650169
1_20240826 21,4282.7432779605
1_20240826 22,4905.72874086674
1_20240826 23,5109.454298533063
1_20240827 00,5021.273411570208
1_20240827 01,4705.740239695288
1_20240827 02,4063.4377842239855
1_20240827 03,3777.3703711772514
1_20240827 04,3815.9562711247836
1_20240827 05,3655.596099347523
1_20240827 06,3801.3729899343157
1_20240827 07,4367.8946023972385
1_20240827 08,5093.631911658515
1_20240827 09,5366.679605770469
1_20240827 10,5127.654465509933
1_20240827 11,4687.106717219567
1_20240827 12,5193.196107854138
1_20240827 13,5374.806053287324
1_20240827 14,5429.191303503626
1_20240827 15,5278.019201323977
1_20240827 16,5403.323282779653
1_20240827 17,5612.939055306283
1_20240827 18,5810.711592237435
1_20240827 19,5678.325829949932
1_20240827 20,5099.96285210578
1_20240827 21,4213.295856546312
1_20240827 22,5380.43823589778
1_20240827 23,5572.447796232685
1_20240828 00,5321.1544544827475
1_20240828 01,4846.178412032611
1_20240828 02,4377.619154638749
1_20240828 03,4120.670817186425
1_20240828 04,3987.493361984899
1_20240828 05,4156.510788946515
1_20240828 06,4374.181176049367
1_20240828 07,4407.786352167838
1_20240828 08,4647.528046797078
1_20240828 09,5575.607349821837
1_20240828 10,5475.3260375883765
1_20240828 11,5150.135304466783
1_20240828 12,5730.111364596665
1_20240828 13,6230.5743239424355
1_20240828 14,6230.863996835424
1_20240828 15,6161.055881814664
1_20240828 16,6175.568159456662
1_20240828 17,6271.874467211401
1_20240828 18,6409.855801493832
1_20240828 19,5791.154881811972
1_20240828 20,4779.646671693719
1_20240828 21,4163.692857566089
1_20240828 22,5378.095033958705
1_20240828 23,5423.924469684289
1_20240829 00,5138.7928591609325
1_20240829 01,4528.707688491308
1_20240829 02,4291.332669298028
1_20240829 03,4041.3655388516
1_20240829 04,3905.357437144816
1_20240829 05,3856.1493663292667
1_20240829 06,3877.9974439754287
1_20240829 07,4191.453270517597
1_20240829 08,4986.1170513032885
1_20240829 09,5420.776077634686
1_20240829 10,5387.122393682364
1_20240829 11,5459.582465430789
1_20240829 12,5974.420094885557
1_20240829 13,6176.588599095804
1_20240829 14,6098.61325574126
1_20240829 15,6099.648708194999
1_20240829 16,6157.767725074578
1_20240829 17,6406.718056788106
1_20240829 18,6510.147113740122
1_20240829 19,6169.675368407412
1_20240829 20,5251.441241313312
1_20240829 21,4244.955267971235
1_20240829 22,4394.667227422094
1_20240829 23,4707.301983554984
1_20240830 00,4918.702431741678
1_20240830 01,4269.843348434683
1_20240830 02,4165.176397050058
1_20240830 03,4019.162973652132
1_20240830 04,3799.1255406303476
1_20240830 05,3792.245076580414
1_20240830 06,3821.4120136847937
1_20240830 07,4131.890649968818
1_20240830 08,4790.180660860296
1_20240830 09,5542.09397092419
1_20240830 10,5555.783586268182
1_20240830 11,5409.162117620153
1_20240830 12,5726.442828642041
1_20240830 13,6067.959230016108
1_20240830 14,6072.701780030871
1_20240830 15,5999.049024359954
1_20240830 16,6061.310115480013
1_20240830 17,6354.373161402646
1_20240830 18,6385.278927533349
1_20240830 19,6164.100844975748
1_20240830 20,5363.011555425775
1_20240830 21,4336.339393093733
1_20240830 22,5067.6286104552
1_20240830 23,5283.954810185338
1_20240831 00,5113.098929929831
1_20240831 01,4811.047111042528
1_20240831 02,4294.391638544346
1_20240831 03,4000.9793159691
1_20240831 04,4031.8537086170263
1_20240831 05,4058.4286336156683
1_20240831 06,4046.23172131978
1_20240831 07,4218.623369970113
1_20240831 08,4909.228357609767
1_20240831 09,5654.281153639133
1_20240831 10,5734.673461582293
1_20240831 11,5878.534898029735
1_20240831 12,6210.662048408255
1_20240831 13,6504.98775481122
1_20240831 14,6490.991782036046
1_20240831 15,6244.287556660339
1_20240831 16,6251.486138916163
1_20240831 17,6338.238465599151
1_20240831 18,6498.423467777426
1_20240831 19,6223.296927553933
1_20240831 20,5492.849574835847
1_20240831 21,4177.797730184013
1_20240831 22,4354.591799445534
1_20240831 23,4431.874104051785
2_20240825 00,1080.7372540075276
2_20240825 01,1068.6891444881044
2_20240825 02,1065.427465294555
2_20240825 03,1076.636623057891
2_20240825 04,1081.1585321581006
2_20240825 05,1155.1248980239266
2_20240825 06,1279.6756487457972
2_20240825 07,1358.7535530839784
2_20240825 08,1435.5346780711059
2_20240825 09,1566.8974524368632
2_20240825 10,1730.6758477685073
2_20240825 11,1750.7245588411947
2_20240825 12,1576.4381547969767
2_20240825 13,1562.5473385213
2_20240825 14,1598.7748800893548
2_20240825 15,1666.8551038184548
2_20240825 16,1736.8939769763372
2_20240825 17,1814.2424939041744
2_20240825 18,2283.4055905150644
2_20240825 19,1555.0868860906023
2_20240825 20,1904.8676535076856
2_20240825 21,2815.534474780899
2_20240825 22,1886.0088344035569
2_20240825 23,1955.2463834116659
2_20240826 00,1648.841837369902
2_20240826 01,1320.3232430002029
2_20240826 02,1257.5425335107398
2_20240826 03,1269.4949967086359
2_20240826 04,1258.3924198800032
2_20240826 05,1361.6253894042777
2_20240826 06,1551.107461680802
2_20240826 07,1785.935783328913
2_20240826 08,1876.3830717593987
2_20240826 09,1970.5490252199156
2_20240826 10,2167.160658255232
