num_date_time,answer
1_20240825 00,2429.269287109375
1_20240825 01,2370.388427734375
1_20240825 02,2277.56494140625
1_20240825 03,2239.265869140625
1_20240825 04,2153.8046875
1_20240825 05,2121.023193359375
1_20240825 06,2200.109375
1_20240825 07,2228.18359375
1_20240825 08,2058.182861328125
1_20240825 09,2053.227783203125
1_20240825 10,1963.519775390625
1_20240825 11,1970.2154541015625
1_20240825 12,1952.6597900390625
1_20240825 13,2036.868896484375
1_20240825 14,2089.551025390625
1_20240825 15,2141.32666015625
1_20240825 16,2175.20458984375
1_20240825 17,2226.661376953125
1_20240825 18,2230.03076171875
1_20240825 19,2217.685546875
1_20240825 20,2226.27685546875
1_20240825 21,2231.341064453125
1_20240825 22,2348.693603515625
1_20240825 23,2456.8505859375
1_20240826 00,4974.09228515625
1_20240826 01,4899.58984375
1_20240826 02,4837.873046875
1_20240826 03,4791.07177734375
1_20240826 04,4774.970703125
1_20240826 05,4794.58984375
1_20240826 06,4893.34716796875
1_20240826 07,5013.11767578125
1_20240826 08,5104.81103515625
1_20240826 09,5224.50439453125
1_20240826 10,5268.61669921875
1_20240826 11,5253.6181640625
1_20240826 12,5259.4697265625
1_20240826 13,5278.3525390625
1_20240826 14,5293.8564453125
1_20240826 15,5325.029296875
1_20240826 16,5341.4033203125
1_20240826 17,5343.4287109375
1_20240826 18,5268.552734375
1_20240826 19,5249.60986328125
1_20240826 20,5175.25537109375
1_20240826 21,5124.6484375
1_20240826 22,5131.435546875
1_20240826 23,5082.9462890625
1_20240827 00,5114.0947265625
1_20240827 01,5031.08740234375
1_20240827 02,4964.2763671875
1_20240827 03,4911.482421875
1_20240827 04,4895.93701171875
1_20240827 05,4911.71044921875
1_20240827 06,5007.1572265625
1_20240827 07,5137.0771484375
1_20240827 08,5242.318359375
1_20240827 09,5381.111328125
1_20240827 10,5456.0986328125
1_20240827 11,5450.8740234375
1_20240827 12,5463.62255859375
1_20240827 13,5479.11767578125
1_20240827 14,5496.44384765625
1_20240827 15,5526.21728515625
1_20240827 16,5545.4541015625
1_20240827 17,5545.59619140625
1_20240827 18,5466.68212890625
1_20240827 19,5446.96044921875
1_20240827 20,5362.44140625
1_20240827 21,5285.53076171875
1_20240827 22,5284.5556640625
1_20240827 23,5232.07763671875
1_20240828 00,5170.3662109375
1_20240828 01,5091.232421875
1_20240828 02,5026.77587890625
1_20240828 03,4977.24267578125
1_20240828 04,4959.919921875
1_20240828 05,4977.8837890625
1_20240828 06,5075.40380859375
1_20240828 07,5194.2041015625
1_20240828 08,5283.79541015625
1_20240828 09,5406.7392578125
1_20240828 10,5457.744140625
1_20240828 11,5445.3134765625
1_20240828 12,5454.02392578125
1_20240828 13,5474.88232421875
1_20240828 14,5491.07275390625
1_20240828 15,5522.22216796875
1_20240828 16,5540.20166015625
1_20240828 17,5545.2783203125
1_20240828 18,5477.2568359375
1_20240828 19,5464.2177734375
1_20240828 20,5388.193359375
1_20240828 21,5335.9775390625
1_20240828 22,5340.458984375
1_20240828 23,5287.9814453125
1_20240829 00,5664.33349609375
1_20240829 01,5577.73291015625
1_20240829 02,5506.640625
1_20240829 03,5452.021484375
1_20240829 04,5430.82177734375
1_20240829 05,5445.01611328125
