num_date_time,answer
1_20240825 00,4086.320068359375
1_20240825 01,4040.75146484375
1_20240825 02,3218.75537109375
1_20240825 03,3096.64892578125
1_20240825 04,2538.60693359375
1_20240825 05,2832.4736328125
1_20240825 06,2865.97900390625
1_20240825 07,3214.00439453125
1_20240825 08,4011.740966796875
1_20240825 09,4706.1103515625
1_20240825 10,5712.5556640625
1_20240825 11,5568.45849609375
1_20240825 12,5686.9482421875
1_20240825 13,5840.00927734375
1_20240825 14,5916.82666015625
1_20240825 15,5927.16455078125
1_20240825 16,5875.68603515625
1_20240825 17,6190.01953125
1_20240825 18,5943.21728515625
1_20240825 19,5915.26513671875
1_20240825 20,5487.76416015625
1_20240825 21,5216.51220703125
1_20240825 22,5445.2109375
1_20240825 23,5246.74853515625
1_20240826 00,4402.6533203125
1_20240826 01,4154.9853515625
1_20240826 02,3327.039794921875
1_20240826 03,3214.115966796875
1_20240826 04,2975.262939453125
1_20240826 05,3330.811279296875
1_20240826 06,3542.083251953125
1_20240826 07,3753.263671875
1_20240826 08,4132.85205078125
1_20240826 09,4723.689453125
1_20240826 10,5449.66064453125
1_20240826 11,5365.3046875
1_20240826 12,5305.46826171875
1_20240826 13,5626.8759765625
1_20240826 14,5640.55908203125
1_20240826 15,5669.470703125
1_20240826 16,5657.892578125
1_20240826 17,5679.1279296875
1_20240826 18,5765.90966796875
1_20240826 19,5367.390625
1_20240826 20,4957.60205078125
1_20240826 21,4604.9619140625
1_20240826 22,5297.3720703125
1_20240826 23,5278.1455078125
1_20240827 00,4782.88427734375
1_20240827 01,4527.8447265625
1_20240827 02,4282.04736328125
1_20240827 03,4091.222412109375
1_20240827 04,4144.6318359375
1_20240827 05,4387.1513671875
1_20240827 06,4127.78759765625
1_20240827 07,4431.37548828125
1_20240827 08,4538.595703125
1_20240827 09,4677.80517578125
1_20240827 10,4905.22265625
1_20240827 11,4800.09912109375
1_20240827 12,4951.11962890625
1_20240827 13,5375.4775390625
1_20240827 14,5522.568359375
1_20240827 15,5893.1123046875
1_20240827 16,5728.62109375
1_20240827 17,5545.92919921875
1_20240827 18,5735.5830078125
1_20240827 19,5516.08154296875
1_20240827 20,4778.99267578125
1_20240827 21,4304.9404296875
1_20240827 22,5159.435546875
1_20240827 23,5117.95703125
1_20240828 00,4678.3671875
1_20240828 01,4617.02197265625
1_20240828 02,4481.4599609375
1_20240828 03,4214.38720703125
1_20240828 04,4039.522216796875
1_20240828 05,3928.546142578125
1_20240828 06,4279.296875
1_20240828 07,4286.125
1_20240828 08,4724.51513671875
1_20240828 09,5163.51025390625
1_20240828 10,5703.00244140625
1_20240828 11,5477.4130859375
1_20240828 12,5583.3505859375
1_20240828 13,5573.69677734375
1_20240828 14,5542.68408203125
1_20240828 15,5511.18212890625
1_20240828 16,5553.85986328125
1_20240828 17,5495.85546875
1_20240828 18,5607.90087890625
1_20240828 19,5367.7978515625
1_20240828 20,4792.70263671875
1_20240828 21,4645.115234375
1_20240828 22,5264.52734375
1_20240828 23,5222.3232421875
1_20240829 00,4895.5380859375
1_20240829 01,4721.16162109375
1_20240829 02,4299.80712890625
1_20240829 03,3988.0380859375
1_20240829 04,4110.71484375
1_20240829 05,4132.791015625
1_20240829 06,4016.506103515625
1_20240829 07,4222.7744140625
1_20240829 08,4769.896484375
1_20240829 09,5082.1064453125
1_20240829 10,5750.2900390625
1_20240829 11,5509.37548828125
1_20240829 12,5534.87939453125
1_20240829 13,5741.53564453125
1_20240829 14,5774.7294921875
1_20240829 15,5904.115234375
1_20240829 16,5842.12890625
1_20240829 17,5802.56103515625
1_20240829 18,5944.1435546875
1_20240829 19,5751.60888671875
1_20240829 20,5118.09619140625
1_20240829 21,4813.61181640625
1_20240829 22,5151.07763671875
1_20240829 23,4839.82861328125
1_20240830 00,5106.607421875
1_20240830 01,4824.341796875
1_20240830 02,4195.255859375
1_20240830 03,3799.584228515625
1_20240830 04,3971.3291015625
1_20240830 05,4250.07275390625
1_20240830 06,4205.583984375
1_20240830 07,4441.236328125
1_20240830 08,4839.55517578125
1_20240830 09,5342.54150390625
1_20240830 10,5808.3544921875
1_20240830 11,5746.068359375
