num_date_time,answer
1_20240825 00,4371.638783669792
1_20240825 01,4453.191579048656
1_20240825 02,4061.2990472926954
1_20240825 03,3992.586960820782
1_20240825 04,3168.112137306343
1_20240825 05,3658.425268636235
1_20240825 06,4365.58738959055
1_20240825 07,5091.473654860735
1_20240825 08,5309.682677039796
1_20240825 09,6477.006955823576
1_20240825 10,6404.4663612101895
1_20240825 11,6579.003756609765
1_20240825 12,6874.676305540173
1_20240825 13,7127.896355982903
1_20240825 14,7254.6539138292255
1_20240825 15,6964.33820772328
1_20240825 16,7147.971267411296
1_20240825 17,7278.367261972178
1_20240825 18,7040.0501050268695
1_20240825 19,6885.636050485917
1_20240825 20,6339.791686267041
1_20240825 21,5575.003690480106
1_20240825 22,5100.968079625091
1_20240825 23,5271.16541922721
1_20240826 00,5050.096814694488
1_20240826 01,4550.573896918446
1_20240826 02,4239.909711683433
1_20240826 03,4001.096533659056
1_20240826 04,4226.124902832139
1_20240826 05,4918.70556584949
1_20240826 06,5065.688713663246
1_20240826 07,5510.657785139493
1_20240826 08,5185.725672494151
1_20240826 09,6047.683870233999
1_20240826 10,6015.67630505566
1_20240826 11,5858.647441166148
1_20240826 12,5942.673503306096
1_20240826 13,6143.308107132733
1_20240826 14,6061.7321971876545
1_20240826 15,6012.719690906673
1_20240826 16,6020.334340356244
1_20240826 17,6759.913083743162
1_20240826 18,6633.257465856583
1_20240826 19,5728.849911178556
1_20240826 20,5264.497833484816
1_20240826 21,4709.832319704489
1_20240826 22,5070.9503317095
1_20240826 23,5374.2923345291065
1_20240827 00,4547.624140390387
1_20240827 01,4473.088013964224
1_20240827 02,4211.929130110135
1_20240827 03,4043.264466371832
1_20240827 04,4181.2278568407255
1_20240827 05,4461.040162273168
1_20240827 06,3886.7958582061815
1_20240827 07,4232.986491665184
1_20240827 08,4362.472092186416
1_20240827 09,4973.272393302038
1_20240827 10,4738.009508945852
1_20240827 11,4688.413277752951
1_20240827 12,5106.061053088071
1_20240827 13,5230.391161343314
1_20240827 14,5428.615146871723
1_20240827 15,5730.033574276521
1_20240827 16,5620.888237017882
1_20240827 17,6148.546288935797
1_20240827 18,6094.18819743297
1_20240827 19,5897.282939310849
1_20240827 20,5166.919910728468
1_20240827 21,4405.357055506674
1_20240827 22,5331.450651149612
1_20240827 23,5526.865691479221
1_20240828 00,4133.044865111722
1_20240828 01,4131.333111837976
